Party,Wingness,LGBT,BLM,Feminism,Paternal Age,Leftism,Age
Independent,Centrist,1,1,1,30,1,40.0
Democratic,Left-wing,1,1,1,27,1,42.0
Independent,Centrist,1,1,1,32,1,29.0
Independent,Centrist,1,1,1,36,1,52.0
Republican,Right-wing,0,0,0,35,0,60.0
Republican,Right-wing,0,0,0,27,0,48.0
Democratic,Left-wing,1,1,1,22,1,49.0
Independent,Centrist,1,1,1,43,1,72.0
Democratic,Left-wing,1,1,1,31,1,52.0
Libertarian,Centrist,0,0,0,25,0,44.0
Independent,Centrist,1,1,1,32,1,33.0
Democratic,Left-wing,1,1,1,32,1,29.0
Independent,Centrist,1,1,1,21,1,42.0
Democratic,Left-wing,1,1,1,26,1,28.0
Independent,Centrist,0,0,0,25,0,48.0
Republican,Right-wing,0,0,0,25,0,72.0
Democratic,Left-wing,0,0,0,41,0,51.0
Independent,Left-wing,1,1,1,22,1,37.0
Republican,Right-wing,0,0,0,34,0,31.0
Democratic,Left-wing,1,1,1,30,1,30.0
Republican,Right-wing,0,0,0,26,0,62.0
Democratic,Left-wing,1,1,1,36,1,72.0
Democratic,Left-wing,1,1,1,39,1,25.0
Democratic,Left-wing,1,1,1,36,1,71.0
Democratic,Left-wing,1,1,1,33,1,50.0
Independent,Centrist,1,0,1,25,0,49.0
Independent,Centrist,1,1,1,48,1,29.0
Republican,Right-wing,0,0,0,30,0,65.0
Democratic,Left-wing,1,1,1,25,1,42.0
Democratic,Left-wing,1,1,1,26,1,39.0
Democratic,Left-wing,1,1,1,32,1,36.0
Republican,Right-wing,0,0,1,24,0,66.0
Democratic,Left-wing,1,1,1,23,1,37.0
Republican,Right-wing,0,0,0,26,0,37.0
Democratic,Left-wing,1,1,1,34,1,36.0
Democratic,Left-wing,1,1,1,28,1,42.0
Democratic,Left-wing,1,1,1,37,1,62.0
Independent,Left-wing,1,1,1,34,1,22.0
Democratic,Left-wing,1,1,1,32,1,29.0
Republican,Right-wing,0,0,0,25,0,46.0
Democratic,Left-wing,1,1,1,37,1,39.0
Democratic,Left-wing,1,0,1,33,0,37.0
Democratic,Left-wing,1,1,1,26,1,28.0
Democratic,Left-wing,1,1,1,49,1,31.0
Democratic,Left-wing,0,0,0,32,0,32.0
Democratic,Left-wing,1,1,1,42,1,52.0
Republican,Centrist,0,0,1,23,0,42.0
Democratic,Left-wing,1,1,1,25,1,28.0
Democratic,Left-wing,1,1,1,38,1,29.0
Independent,Centrist,1,1,1,67,1,40.0
Democratic,Left-wing,0,1,1,22,0,49.0
Republican,Right-wing,0,0,0,25,0,94.0
Democratic,Left-wing,1,1,1,22,1,39.0
Libertarian,Left-wing,1,1,1,30,1,52.0
Republican,Right-wing,0,0,0,27,0,53.0
Democratic,Right-wing,1,1,1,23,1,30.0
Democratic,Left-wing,1,1,1,35,1,24.0
Democratic,Left-wing,1,1,1,38,1,32.0
Democratic,Left-wing,1,1,1,25,1,52.0
Democratic,Left-wing,1,1,1,22,1,67.0
Independent,Centrist,1,0,1,29,0,60.0
Libertarian,Left-wing,1,1,1,25,1,25.0
Independent,Left-wing,1,1,1,31,1,34.0
Democratic,Left-wing,1,1,1,35,1,37.0
Democratic,Left-wing,1,0,1,26,0,35.0
Independent,Centrist,0,0,1,45,0,51.0
Republican,Left-wing,1,1,1,28,1,20.0
Republican,Right-wing,0,0,0,24,0,54.0
Independent,Centrist,1,1,1,37,1,58.0
Democratic,Left-wing,1,1,1,25,1,31.0
Democratic,Left-wing,1,1,1,26,1,37.0
Independent,Centrist,1,1,1,25,1,56.0
Independent,Left-wing,1,0,1,31,0,70.0
Democratic,Left-wing,1,1,1,25,1,41.0
Democratic,Left-wing,1,1,1,30,1,66.0
Independent,Left-wing,1,1,1,21,1,66.0
Democratic,Left-wing,1,1,1,24,1,33.0
Independent,Centrist,1,1,1,22,1,56.0
Democratic,Left-wing,1,1,1,37,1,24.0
Independent,Centrist,1,0,1,22,0,20.0
Republican,Right-wing,0,0,0,30,0,28.0
Democratic,Left-wing,1,1,1,23,1,62.0
Independent,Centrist,1,1,1,34,1,29.0
Republican,Right-wing,0,0,0,28,0,33.0
Democratic,Left-wing,1,1,1,26,1,73.0
Independent,Centrist,1,0,1,32,0,40.0
Unaffiliated,Centrist,0,0,0,20,0,33.0
I don't like any of them,Left-wing,1,1,1,26,1,40.0
Independent,Left-wing,1,0,1,34,0,26.0
Republican,Right-wing,0,0,0,18,0,79.0
Independent,Right-wing,0,0,0,46,0,41.0
Democratic,Left-wing,1,0,1,27,0,25.0
Independent,Centrist,1,0,1,29,0,53.0
Democratic,Left-wing,1,1,1,23,1,53.0
Democratic,Left-wing,1,1,1,35,1,73.0
Democratic,Left-wing,1,1,1,32,1,46.0
Libertarian,Centrist,0,0,0,23,0,47.0
Independent,Centrist,1,1,1,19,1,21.0
Democratic,Left-wing,1,1,1,27,1,38.0
Democratic,Left-wing,1,1,1,37,1,71.0
Independent,Left-wing,1,0,1,16,0,43.0
Libertarian,Right-wing,1,0,0,28,0,23.0
Democratic,Left-wing,1,1,1,32,1,27.0
Democratic,Centrist,1,1,1,33,1,37.0
Republican,Centrist,1,1,1,29,1,56.0
Democratic,Left-wing,1,1,0,25,0,47.0
Independent,Centrist,1,0,1,18,0,27.0
Republican,Right-wing,0,0,0,22,0,60.0
Democratic,Left-wing,1,1,1,31,1,50.0
Democratic,Left-wing,1,1,1,26,1,36.0
Democratic,Left-wing,1,0,0,26,0,48.0
Democratic,Left-wing,1,1,1,29,1,24.0
Independent,Left-wing,1,1,1,37,1,43.0
Green,Left-wing,1,1,1,27,1,36.0
Independent,Centrist,1,1,1,33,1,33.0
Republican,Right-wing,0,0,0,28,0,59.0
Democratic,Left-wing,1,1,1,19,1,33.0
Democratic,Centrist,1,1,1,23,1,65.0
Democratic,Left-wing,1,1,1,27,1,71.0
Democratic,Left-wing,1,1,1,26,1,32.0
Democratic,Centrist,1,1,1,32,1,33.0
Republican,Right-wing,1,0,1,35,0,67.0
Independent,Centrist,1,1,1,41,1,20.0
Independent,Centrist,0,0,0,44,0,59.0
Independent,Right-wing,0,0,0,32,0,68.0
Democratic,Left-wing,1,1,1,35,1,60.0
Independent,Centrist,1,1,1,32,1,40.0
Independent,Centrist,0,0,0,30,0,61.0
Republican,Right-wing,0,0,0,33,0,31.0
Democratic,Left-wing,1,1,1,25,1,35.0
Democratic,Centrist,1,1,1,27,1,57.0
Independent,Centrist,1,1,1,25,1,36.0
Democratic,Left-wing,1,1,1,32,1,58.0
Populist,Right-wing,0,0,0,32,0,67.0
Democratic,Left-wing,1,1,1,30,1,57.0
Republican,Right-wing,0,0,0,24,0,46.0
Independent,Left-wing,1,1,1,27,1,44.0
Democratic,Left-wing,0,0,1,40,0,63.0
Democratic,Centrist,1,1,1,30,1,50.0
Democratic,Left-wing,1,1,1,30,1,50.0
Independent,Left-wing,1,0,1,33,0,57.0
Democratic,Left-wing,1,1,1,26,1,37.0
Democratic,Left-wing,1,1,1,34,1,21.0
Democratic,Left-wing,1,1,1,44,1,34.0
Republican,Centrist,1,0,0,50,0,61.0
Democratic,Left-wing,1,1,1,39,1,26.0
Green,Centrist,0,1,1,34,0,31.0
Independent,Centrist,1,0,1,29,0,46.0
Democratic,Left-wing,1,1,1,36,1,29.0
Independent,Centrist,1,0,1,36,0,21.0
Democratic,Centrist,1,1,1,24,1,67.0
Republican,Right-wing,1,1,1,36,1,39.0
Independent,Left-wing,1,1,1,21,1,38.0
Independent,Centrist,1,0,1,34,0,37.0
Democratic,Centrist,1,1,1,34,1,37.0
Independent,Right-wing,0,0,0,33,0,36.0
Democratic,Left-wing,1,1,1,21,1,51.0
Independent,Centrist,0,0,0,30,0,34.0
Independent,Centrist,1,1,1,28,1,45.0
Democratic,Left-wing,1,1,1,38,1,31.0
Republican,Right-wing,0,0,1,41,0,48.0
Republican,Right-wing,0,0,0,38,0,41.0
Democratic,Left-wing,0,1,0,26,0,23.0
Democratic,Left-wing,1,1,1,25,1,43.0
Republican,Centrist,1,0,1,25,0,66.0
Independent,Centrist,1,1,1,37,1,64.0
Green,Left-wing,1,1,1,20,1,40.0
Democratic,Left-wing,1,1,1,27,1,57.0
Democratic,Left-wing,1,1,1,54,1,37.0
Republican,Right-wing,0,0,0,24,0,39.0
Democratic,Left-wing,1,1,1,39,1,46.0
Republican,Centrist,1,0,1,25,0,41.0
Independent,Left-wing,0,1,1,30,0,46.0
Independent,Centrist,1,1,1,28,1,61.0
Independent,Centrist,1,0,1,27,0,70.0
Independent,Centrist,0,0,0,23,0,45.0
Democratic,Left-wing,1,1,1,26,1,40.0
Independent,Centrist,1,0,0,21,0,41.0
Democratic,Centrist,0,0,0,31,0,31.0
Democratic,Left-wing,1,0,1,35,0,39.0
Democratic,Left-wing,1,1,1,41,1,54.0
Democratic,Left-wing,1,1,1,40,1,30.0
Democratic,Left-wing,1,1,1,33,1,41.0
Democratic,Left-wing,1,1,1,38,1,31.0
Democratic,Left-wing,1,1,1,36,1,33.0
Independent,Right-wing,0,0,0,40,0,36.0
Democratic,Centrist,1,1,1,30,1,73.0
Democratic,Left-wing,1,1,1,32,1,34.0
Republican,Right-wing,0,0,0,40,0,61.0
Independent,Centrist,1,0,0,22,0,28.0
Democratic,Left-wing,1,1,1,33,1,25.0
Republican,Right-wing,0,0,0,42,0,70.0
Democratic,Left-wing,1,1,1,19,1,55.0
Democratic,Left-wing,1,1,1,30,1,35.0
Democratic,Centrist,1,1,1,33,1,65.0
Independent,Centrist,1,1,1,39,1,36.0
Independent,Left-wing,1,1,1,29,1,21.0
Republican,Right-wing,0,0,0,28,0,40.0
Democratic,Centrist,1,0,1,27,0,51.0
Independent,Centrist,1,0,1,34,0,50.0
Independent,Centrist,1,0,1,25,0,44.0
Republican,Right-wing,0,0,0,25,0,42.0
no party,Centrist,1,0,1,28,0,60.0
Democratic,Centrist,1,1,1,21,1,61.0
Democratic,Left-wing,1,0,1,35,0,35.0
Republican,Right-wing,1,1,1,31,1,49.0
Republican,Centrist,1,0,1,18,0,42.0
Democratic,Left-wing,1,1,1,26,1,24.0
Democratic,Centrist,1,0,0,38,0,62.0
Independent,Centrist,0,0,0,24,0,43.0
Democratic,Left-wing,1,1,1,23,1,55.0
Republican,Right-wing,1,0,0,27,0,24.0
Republican,Right-wing,1,1,1,25,1,48.0
Republican,Right-wing,0,0,0,21,0,72.0
Democratic,Centrist,1,0,1,32,0,49.0
Independent,Centrist,0,0,0,29,0,32.0
Independent,Centrist,0,0,0,25,0,38.0
Democratic,Centrist,0,0,1,40,0,58.0
Democratic,Left-wing,1,1,1,31,1,36.0
Republican,Right-wing,0,0,0,25,0,37.0
Democratic,Right-wing,1,1,1,30,1,34.0
Democratic,Left-wing,1,1,1,32,1,39.0
Democratic,Left-wing,1,1,1,32,1,25.0
Republican,Centrist,0,0,0,28,0,61.0
Independent,Centrist,1,0,0,25,0,43.0
Independent,Left-wing,1,1,1,36,1,35.0
Democratic,Left-wing,1,1,1,31,1,36.0
Democratic,Left-wing,1,1,1,34,1,29.0
Democratic,Left-wing,1,0,1,22,0,57.0
Democratic,Left-wing,1,1,1,23,1,49.0
Democratic,Left-wing,1,1,1,34,1,24.0
Democratic,Left-wing,1,1,1,25,1,38.0
Independent,Centrist,1,1,1,25,1,37.0
Democratic,Left-wing,1,1,1,40,1,24.0
Republican,Right-wing,0,0,0,32,0,51.0
Democratic,Left-wing,1,1,1,30,1,32.0
Democratic,Left-wing,1,1,1,24,1,32.0
Republican,Right-wing,1,0,1,39,0,38.0
Republican,Centrist,1,0,0,28,0,46.0
Independent,Centrist,1,0,0,18,0,49.0
Democratic,Right-wing,1,1,1,25,1,37.0
Democratic,Left-wing,1,1,1,50,1,26.0
Democratic,Left-wing,1,1,1,25,1,33.0
Independent,Centrist,1,0,1,30,0,50.0
Democratic,Left-wing,1,1,1,30,1,45.0
Republican,Right-wing,1,0,1,28,0,25.0
Democratic,Left-wing,1,1,1,32,1,57.0
Libertarian,Centrist,1,0,1,27,0,36.0
Independent,Right-wing,0,0,1,26,0,28.0
Independent,Centrist,1,1,1,21,1,45.0
Democratic,Left-wing,1,1,1,33,1,19.0
Independent,Centrist,1,0,1,30,0,30.0
Democratic,Left-wing,1,0,1,20,0,28.0
Democratic,Left-wing,1,0,1,33,0,38.0
Democratic,Centrist,1,1,1,22,1,21.0
Democratic,Left-wing,1,1,1,30,1,29.0
Democratic,Left-wing,1,1,1,21,1,30.0
Independent,Right-wing,1,0,0,33,0,37.0
Republican,Centrist,1,1,1,32,1,57.0
Independent,Left-wing,1,1,1,28,1,39.0
Independent,Centrist,1,0,1,34,0,34.0
Independent,Centrist,1,1,1,35,1,28.0
Independent,Left-wing,1,0,0,32,0,62.0
Democratic,Left-wing,1,1,1,27,1,47.0
Independent,Centrist,0,0,0,25,0,40.0
Libertarian,Centrist,1,0,1,30,0,33.0
Democratic,Left-wing,1,1,1,31,1,66.0
Democratic,Centrist,1,1,1,26,1,56.0
Independent,Centrist,1,1,1,28,1,56.0
Libertarian,Centrist,1,0,1,34,0,32.0
Democratic,Left-wing,1,1,1,23,1,48.0
Democratic,Left-wing,1,1,1,37,1,25.0
Independent,Centrist,1,1,1,26,1,64.0
Democratic,Left-wing,1,1,1,27,1,77.0
Republican,Right-wing,0,0,0,36,0,41.0
Republican,Left-wing,0,0,0,17,0,52.0
Democratic,Left-wing,1,1,1,27,1,47.0
Independent,Left-wing,1,1,0,27,0,30.0
Democratic,Left-wing,1,1,1,34,1,55.0
Democratic,Left-wing,1,1,1,30,1,66.0
Independent,Centrist,0,0,0,46,0,39.0
Democratic,Left-wing,1,1,1,25,1,26.0
Republican,Centrist,0,0,1,26,0,65.0
Independent,Centrist,1,1,1,25,1,66.0
Democratic,Left-wing,1,1,1,31,1,36.0
Democratic,Left-wing,1,1,1,32,1,40.0
Republican,Right-wing,0,0,0,28,0,64.0
Independent,Centrist,0,0,0,32,0,33.0
Republican,Centrist,0,0,0,26,0,50.0
Democratic,Centrist,1,1,1,36,1,32.0
none,Centrist,1,0,1,35,0,39.0
Republican,Centrist,1,1,1,28,1,35.0
Republican,Right-wing,1,0,1,22,0,39.0
Democratic,Left-wing,1,1,1,38,1,39.0
Republican,Right-wing,0,0,0,27,0,46.0
Democratic,Left-wing,1,1,1,28,1,59.0
Independent,Centrist,1,0,1,30,0,68.0
Democratic,Centrist,1,1,1,18,1,58.0
Independent,Centrist,1,1,1,26,1,36.0
Independent,Centrist,1,0,0,38,0,30.0
Republican,Right-wing,1,0,1,24,0,64.0
Democratic,Left-wing,1,1,1,23,1,64.0
Republican,Right-wing,0,0,0,24,0,35.0
Republican,Centrist,1,1,1,26,1,45.0
Democratic,Left-wing,1,1,1,34,1,27.0
Republican,Centrist,0,0,0,24,0,61.0
Independent,Centrist,1,0,0,31,0,37.0
Democratic,Left-wing,1,0,1,44,0,33.0
Democratic,Left-wing,1,0,1,36,0,37.0
Democratic,Left-wing,1,1,1,27,1,64.0
Republican,Centrist,1,0,0,36,0,32.0
Independent,Centrist,1,0,0,22,0,45.0
Democratic,Left-wing,1,1,1,23,1,41.0
Democratic,Centrist,1,1,1,30,1,48.0
Independent,Left-wing,1,0,1,31,0,68.0
Democratic,Left-wing,1,1,1,36,1,45.0
Republican,Right-wing,0,0,0,27,0,46.0
Democratic,Left-wing,1,1,1,32,1,33.0
Democratic,Left-wing,1,1,1,31,1,38.0
Independent,Centrist,1,1,1,34,1,34.0
Democratic,Left-wing,1,1,1,29,1,29.0
Independent,Left-wing,1,1,1,30,1,40.0
Independent,Centrist,1,0,1,33,0,51.0
Republican,Right-wing,0,0,0,26,0,26.0
Democratic,Centrist,1,1,1,28,1,37.0
Democratic,Left-wing,1,0,1,35,0,55.0
Republican,Centrist,1,0,1,32,0,31.0
leftist,Left-wing,1,1,1,29,1,36.0
Independent,Centrist,1,1,1,21,1,55.0
Democratic,Left-wing,1,1,1,26,1,56.0
Democratic,Left-wing,1,1,1,42,1,27.0
Independent,Left-wing,1,1,1,53,1,60.0
Republican,Right-wing,0,0,0,22,0,66.0
Republican,Right-wing,0,0,1,35,0,66.0
Democratic,Left-wing,1,1,1,30,1,61.0
Independent,Left-wing,1,1,1,32,1,43.0
Democratic,Left-wing,1,0,1,33,0,41.0
Independent,Right-wing,0,0,1,35,0,71.0
Democratic,Left-wing,1,1,1,30,1,37.0
Democratic,Left-wing,1,1,0,39,0,37.0
Democratic,Left-wing,1,0,1,26,0,32.0
Neutral,Centrist,1,1,1,20,1,66.0
Independent,Right-wing,0,0,0,19,0,53.0
Republican,Right-wing,0,0,0,34,0,48.0
Republican,Right-wing,1,0,1,25,0,67.0
Democratic,Left-wing,1,1,1,27,1,42.0
Republican,Right-wing,1,1,1,23,1,86.0
Independent,Left-wing,1,1,1,36,1,38.0
Independent,Left-wing,1,1,1,44,1,22.0
Democratic,Left-wing,1,1,1,26,1,44.0
Democratic,Left-wing,1,1,1,18,1,71.0
Democratic,Left-wing,1,1,0,35,0,34.0
Independent,Left-wing,1,1,1,21,1,30.0
Republican,Right-wing,0,0,0,33,0,27.0
Democratic,Left-wing,1,1,1,36,1,21.0
Democratic,Left-wing,1,0,1,23,0,24.0
Democratic,Left-wing,1,1,1,36,1,33.0
Democratic,Left-wing,1,1,1,23,1,61.0
Republican,Right-wing,0,0,0,26,0,52.0
Republican,Right-wing,0,0,0,18,0,48.0
Independent,Centrist,1,0,1,25,0,27.0
Democratic,Left-wing,1,1,1,26,1,56.0
Independent,Centrist,1,0,0,32,0,32.0
Republican,Right-wing,0,0,0,26,0,57.0
Democratic,Left-wing,1,1,1,32,1,38.0
Independent,Left-wing,1,1,1,35,1,27.0
Democratic,Left-wing,1,1,1,34,1,39.0
Democratic,Left-wing,1,1,1,36,1,35.0
Democratic,Left-wing,1,1,1,23,1,27.0
Independent,Centrist,1,1,1,37,1,23.0
Independent,Centrist,0,0,0,25,0,34.0
Green,Centrist,0,0,1,24,0,29.0
Democratic,Left-wing,1,1,1,25,1,66.0
Republican,Right-wing,1,1,1,19,1,53.0
Democratic,Right-wing,0,1,1,38,0,48.0
Democratic,Centrist,1,1,1,24,1,51.0
Democratic,Centrist,1,1,1,40,1,53.0
Republican,Right-wing,0,0,0,36,0,64.0
Democratic,Left-wing,1,1,1,25,1,41.0
Republican,Right-wing,0,0,0,30,0,46.0
Democratic,Left-wing,1,1,1,24,1,34.0
Independent,Centrist,1,1,1,36,1,56.0
Democratic,Left-wing,1,1,1,33,1,37.0
Independent,Centrist,1,0,0,42,0,59.0
Independent,Centrist,0,0,1,36,0,48.0
Republican,Right-wing,1,0,1,28,0,30.0
Democratic,Right-wing,0,1,0,32,0,35.0
Democratic,Left-wing,1,1,1,33,1,45.0
Democratic,Left-wing,1,1,1,22,1,37.0
Democratic,Left-wing,1,1,1,31,1,45.0
Democratic,Left-wing,1,1,1,35,1,22.0
Democratic,Centrist,1,1,1,34,1,68.0
Democratic,Left-wing,1,1,1,25,1,43.0
Independent,Left-wing,1,1,1,42,1,29.0
Democratic,Left-wing,1,1,1,35,1,30.0
Republican,Right-wing,0,1,1,40,0,49.0
Independent,Centrist,1,0,1,21,0,49.0
Republican,Centrist,1,0,0,67,0,40.0
Independent,Right-wing,1,0,0,21,0,39.0
Democratic,Left-wing,1,1,1,27,1,81.0
Democratic,Left-wing,1,1,1,26,1,44.0
Independent,Left-wing,1,1,1,29,1,33.0
Democratic,Left-wing,1,1,1,29,1,42.0
Democratic,Left-wing,1,0,1,20,0,55.0
Democratic,Left-wing,1,1,1,30,1,31.0
Independent,Left-wing,1,1,1,27,1,39.0
Independent,Left-wing,1,1,1,35,1,25.0
Independent,Centrist,1,1,1,42,1,22.0
Democratic,Left-wing,1,1,1,17,1,31.0
Democratic,Left-wing,1,1,1,36,1,58.0
Independent,Centrist,1,0,0,32,0,32.0
Independent,Centrist,1,0,1,33,0,26.0
Democratic,Left-wing,1,1,1,40,1,27.0
Democratic,Left-wing,1,1,1,46,1,32.0
Republican,Right-wing,1,0,1,34,0,46.0
Republican,Right-wing,0,0,0,24,0,24.0
Democratic,Left-wing,1,0,1,23,0,59.0
Republican,Right-wing,1,1,1,34,1,39.0
Independent,Left-wing,1,1,1,32,1,58.0
Independent,Left-wing,0,1,1,34,0,43.0
Independent,Centrist,1,1,1,50,1,48.0
Independent,Centrist,1,1,0,27,0,38.0
Republican,Right-wing,0,0,1,30,0,69.0
Republican,Right-wing,0,0,0,26,0,53.0
Independent,Centrist,1,1,1,30,1,36.0
Independent,Centrist,0,0,0,21,0,56.0
Republican,Right-wing,1,0,1,30,0,32.0
Independent,Centrist,1,1,1,25,1,24.0
Republican,Right-wing,0,0,0,30,0,36.0
Democratic,Left-wing,1,1,0,30,0,62.0
Democratic,Left-wing,1,1,1,29,1,23.0
Democratic,Left-wing,1,1,1,22,1,45.0
Independent,Right-wing,0,0,0,30,0,34.0
Independent,Centrist,0,1,1,37,0,54.0
Democratic,Left-wing,1,1,1,23,1,51.0
Independent,Right-wing,0,0,1,27,0,72.0
Independent,Centrist,1,0,0,35,0,26.0
Independent,Centrist,1,0,0,38,0,35.0
Democratic,Left-wing,1,1,1,27,1,37.0
Republican,Right-wing,1,0,0,27,0,38.0
Democratic,Centrist,1,0,0,18,0,63.0
Independent,Right-wing,0,0,1,24,0,30.0
Libertarian,Right-wing,1,0,1,33,0,32.0
Independent,Left-wing,1,1,1,42,1,63.0
Republican,Left-wing,1,1,1,21,1,60.0
Republican,Right-wing,1,0,0,35,0,29.0
Democratic,Left-wing,1,1,1,39,1,23.0
Democratic,Left-wing,1,1,1,19,1,43.0
Independent,Centrist,0,0,1,35,0,65.0
Democratic,Left-wing,1,1,1,43,1,27.0
Democratic,Left-wing,1,1,1,32,1,34.0
Socialist,Left-wing,1,1,1,35,1,58.0
Independent,Centrist,1,0,1,28,0,40.0
Democratic,Left-wing,1,1,1,33,1,34.0
Independent,Centrist,1,1,1,32,1,34.0
Democratic,Left-wing,1,1,1,23,1,40.0
Democratic,Left-wing,1,1,1,32,1,29.0
Democratic,Left-wing,1,1,1,39,1,49.0
Democratic,Centrist,1,1,1,32,1,34.0
Independent,Right-wing,0,0,0,35,0,30.0
Democratic,Left-wing,1,1,1,39,1,55.0
Republican,Right-wing,0,0,0,42,0,42.0
Democratic,Left-wing,1,1,1,34,1,70.0
Democratic,Left-wing,1,1,1,32,1,31.0
Independent,Left-wing,1,1,1,52,1,41.0
Democratic,Left-wing,1,1,1,32,1,60.0
Republican,Right-wing,0,0,1,24,0,34.0
Republican,Centrist,1,0,0,28,0,62.0
Independent,Centrist,0,0,0,41,0,57.0
Independent,Left-wing,1,1,1,20,1,28.0
Independent,Right-wing,1,1,1,37,1,62.0
Independent,Right-wing,0,0,0,24,0,61.0
Independent,Centrist,0,0,1,28,0,32.0
Democratic,Left-wing,1,1,1,34,1,69.0
Democratic,Right-wing,0,1,0,47,0,35.0
Democratic,Right-wing,1,1,1,25,1,29.0
Democratic,Left-wing,1,1,1,25,1,54.0
Green,Left-wing,1,1,0,27,0,57.0
Democratic,Left-wing,1,1,1,31,1,24.0
