Party,Wingness,LGBT,BLM,Feminism,Paternal Age,Leftism,Age
Independent,Right-wing,0,0,0,37,0,38.0
Republican,Right-wing,0,1,0,42,0,33.0
Democratic,Left-wing,1,1,1,44,1,61.0
Republican,Right-wing,0,0,0,25,0,35.0
Democratic,Left-wing,1,1,1,28,1,33.0
Independent,Centrist,1,1,1,33,1,21.0
Independent,Left-wing,1,1,1,24,1,31.0
Democratic,Centrist,1,0,1,32,0,51.0
Democratic,Left-wing,1,1,1,40,1,54.0
Independent,Left-wing,1,1,1,34,1,21.0
Independent,Centrist,1,0,1,24,0,34.0
Independent,Centrist,1,1,1,34,1,33.0
Republican,Right-wing,0,0,0,30,0,36.0
Democratic,Left-wing,1,1,1,33,1,35.0
Democratic,Left-wing,1,1,1,22,1,39.0
Independent,Right-wing,0,0,1,32,0,19.0
Libertarian,Centrist,1,1,1,30,1,44.0
Democratic,Left-wing,1,1,1,41,1,41.0
Democratic,Left-wing,1,1,1,36,1,35.0
Democratic,Left-wing,1,1,1,19,1,38.0
Democratic,Left-wing,1,1,1,25,1,69.0
Republican,Centrist,1,1,1,25,1,48.0
Democratic,Left-wing,1,1,1,21,1,38.0
Democratic,Left-wing,1,1,1,32,1,37.0
Republican,Centrist,1,1,1,18,1,24.0
Republican,Right-wing,0,0,1,25,0,54.0
Democratic,Left-wing,1,1,1,32,1,35.0
Democratic,Left-wing,1,1,1,32,1,27.0
Republican,Right-wing,1,0,1,26,0,67.0
Independent,Left-wing,1,1,1,40,1,60.0
Democratic,Left-wing,1,1,1,24,1,32.0
Democratic,Left-wing,1,1,1,41,1,50.0
Independent,Centrist,1,1,1,33,1,54.0
Democratic,Left-wing,1,1,1,29,1,58.0
Independent,Centrist,1,1,1,36,1,42.0
Republican,Right-wing,0,0,0,27,0,47.0
Democratic,Left-wing,1,1,1,38,1,22.0
Democratic,Left-wing,1,1,1,27,1,36.0
Libertarian,Centrist,0,0,1,30,0,68.0
Republican,Centrist,1,1,1,29,1,49.0
Democratic,Left-wing,1,1,1,22,1,33.0
Independent,Centrist,0,0,1,24,0,38.0
Democratic,Left-wing,1,1,1,39,1,41.0
Democratic,Left-wing,1,1,1,35,1,30.0
Democratic,Left-wing,1,1,1,22,1,39.0
Democratic,Left-wing,1,1,1,26,1,51.0
Democratic,Left-wing,1,1,1,25,1,34.0
Democratic,Left-wing,1,1,1,19,1,44.0
Democratic,Centrist,0,0,0,26,0,40.0
Independent,Centrist,0,0,0,20,0,53.0
Democratic,Left-wing,1,0,1,47,0,59.0
Independent,Centrist,0,0,0,29,0,44.0
Democratic,Left-wing,1,1,1,35,1,33.0
Democratic,Left-wing,1,1,1,24,1,42.0
Democratic,Left-wing,1,1,1,26,1,40.0
Democratic,Left-wing,1,1,1,33,1,55.0
Independent,Centrist,0,0,1,38,0,55.0
Democratic,Left-wing,1,1,1,25,1,54.0
Independent,Left-wing,1,0,1,36,0,30.0
Democratic,Left-wing,1,1,1,35,1,48.0
Democratic,Left-wing,1,1,1,38,1,44.0
Republican,Centrist,0,0,0,19,0,28.0
Democratic,Left-wing,1,1,1,34,1,55.0
Libertarian,Left-wing,1,1,1,31,1,25.0
Democratic,Left-wing,1,1,1,32,1,37.0
Democratic,Left-wing,1,1,1,42,1,27.0
Independent,Centrist,1,0,1,29,0,52.0
Democratic,Centrist,1,1,1,21,1,31.0
Republican,Centrist,0,0,1,32,0,81.0
Republican,Right-wing,0,0,0,21,0,34.0
Republican,Centrist,1,1,1,22,1,58.0
Independent,Centrist,0,0,1,35,0,32.0
Democratic,Left-wing,1,1,1,35,1,28.0
Democratic,Left-wing,1,1,1,40,1,30.0
Democratic,Centrist,1,1,1,36,1,51.0
Democratic,Left-wing,1,0,1,30,0,35.0
Libertarian,Centrist,1,0,1,42,0,33.0
Democratic,Left-wing,1,1,1,38,1,24.0
Independent,Centrist,1,1,1,37,1,22.0
Democratic,Left-wing,1,1,1,30,1,60.0
Green,Centrist,0,0,1,42,0,21.0
Democratic,Left-wing,1,0,1,32,0,36.0
Democratic,Left-wing,1,1,1,26,1,41.0
Independent,Centrist,1,0,1,30,0,32.0
Democratic,Left-wing,1,1,1,24,1,42.0
Republican,Right-wing,0,0,0,33,0,40.0
Independent,Left-wing,1,1,1,25,1,50.0
Republican,Centrist,0,0,0,42,0,63.0
Democratic,Left-wing,1,0,1,23,0,40.0
Independent,Left-wing,1,1,1,41,1,69.0
Democratic,Left-wing,1,1,1,28,1,32.0
Democratic,Left-wing,1,1,1,29,1,55.0
Independent,Left-wing,1,1,1,32,1,22.0
Democratic,Left-wing,1,1,1,22,1,37.0
Independent,Centrist,0,0,0,20,0,43.0
Independent,Centrist,1,0,1,35,0,31.0
Democratic,Left-wing,1,1,1,50,1,46.0
Democratic,Left-wing,1,1,1,33,1,68.0
Democratic,Left-wing,1,1,1,34,1,26.0
Democratic,Left-wing,1,1,1,33,1,66.0
Independent,Left-wing,1,1,1,32,1,33.0
Democratic,Left-wing,1,0,1,36,0,25.0
Democratic,Left-wing,1,1,1,39,1,28.0
Independent,Centrist,0,1,1,25,0,47.0
Democratic,Left-wing,1,1,1,23,1,52.0
Democratic,Left-wing,1,1,1,34,1,34.0
Democratic,Left-wing,1,1,1,27,1,22.0
Democratic,Left-wing,1,1,1,43,1,51.0
Republican,Right-wing,1,1,1,32,1,29.0
Independent,Left-wing,1,1,1,32,1,30.0
Independent,Centrist,1,1,1,28,1,23.0
Democratic,Left-wing,1,1,1,58,1,39.0
Democratic,Left-wing,1,1,1,31,1,60.0
Democratic,Left-wing,1,1,1,26,1,42.0
Independent,Centrist,0,0,1,33,0,25.0
Democratic,Centrist,1,1,1,34,1,26.0
Democratic,Left-wing,1,1,1,23,1,51.0
Democratic,Left-wing,1,1,1,27,1,31.0
Democratic,Left-wing,1,1,1,32,1,45.0
Libertarian,Centrist,1,1,1,35,1,33.0
Democratic,Left-wing,1,1,1,30,1,29.0
Democratic,Left-wing,1,1,1,23,1,42.0
Independent,Left-wing,1,0,1,39,0,23.0
Democratic,Centrist,1,1,1,34,1,68.0
Democratic,Left-wing,1,1,1,30,1,41.0
Independent,Centrist,1,1,1,27,1,51.0
Democratic,Left-wing,1,1,1,34,1,22.0
Democratic,Left-wing,1,1,1,31,1,27.0
Democratic,Left-wing,1,1,1,21,1,48.0
Independent,Centrist,0,0,0,19,0,46.0
Independent,Centrist,1,1,1,20,1,38.0
Democratic,Left-wing,1,1,1,30,1,32.0
Independent,Left-wing,1,1,1,46,1,24.0
Independent,Centrist,1,1,1,39,1,64.0
Independent,Centrist,1,1,1,37,1,58.0
Democratic,Left-wing,1,1,1,24,1,30.0
Democratic,Centrist,1,1,1,20,1,42.0
Libertarian,Centrist,1,0,0,41,0,25.0
Republican,Centrist,0,0,0,20,0,26.0
Independent,Centrist,0,1,1,30,0,34.0
Independent,Centrist,1,0,1,42,0,66.0
Democratic,Left-wing,1,0,1,28,0,29.0
Democratic,Centrist,1,1,1,38,1,63.0
Democratic,Left-wing,1,1,1,36,1,65.0
Independent,Right-wing,1,0,1,41,0,34.0
Republican,Centrist,1,1,1,26,1,65.0
Republican,Right-wing,0,0,1,26,0,67.0
Democratic,Left-wing,1,1,1,40,1,22.0
Democratic,Left-wing,1,1,1,29,1,21.0
I dont have a label ,Centrist,1,1,1,26,1,33.0
Democratic,Centrist,1,1,1,31,1,57.0
Democratic,Centrist,1,0,1,33,0,70.0
Republican,Centrist,1,1,1,27,1,51.0
Independent,Left-wing,1,1,1,42,1,34.0
Democratic,Left-wing,1,0,1,29,0,50.0
Republican,Right-wing,0,1,0,23,0,36.0
Independent,Centrist,0,0,1,36,0,26.0
Republican,Centrist,1,1,1,44,1,26.0
neutral,Centrist,0,1,0,35,0,43.0
Democratic,Left-wing,1,1,1,26,1,31.0
Democratic,Left-wing,1,1,1,29,1,42.0
Independent,Left-wing,1,0,1,32,0,28.0
Democratic,Left-wing,1,1,1,19,1,37.0
Independent,Centrist,0,1,1,49,0,62.0
Democratic,Left-wing,1,1,1,37,1,38.0
Independent,Centrist,1,0,1,22,0,49.0
Democratic,Left-wing,1,1,1,30,1,38.0
Democratic,Left-wing,1,1,1,27,1,40.0
Republican,Right-wing,0,1,1,28,0,33.0
Democratic,Left-wing,1,1,1,33,1,34.0
Independent,Centrist,1,1,1,23,1,35.0
Libertarian,Right-wing,0,0,1,27,0,26.0
Independent,Centrist,1,1,1,24,1,21.0
Democratic,Left-wing,1,1,1,50,1,32.0
Independent,Centrist,1,1,1,42,1,28.0
Democratic,Left-wing,1,1,1,21,1,38.0
Independent,Centrist,0,1,1,32,0,30.0
Democratic,Centrist,1,1,1,36,1,35.0
Democratic,Left-wing,1,1,1,32,1,23.0
Democratic,Left-wing,1,1,1,29,1,73.0
Democratic,Left-wing,1,1,1,38,1,27.0
Democratic,Left-wing,1,1,1,37,1,23.0
Democratic,Left-wing,1,1,1,41,1,50.0
Republican,Right-wing,1,0,0,24,0,21.0
Democratic,Left-wing,1,1,1,23,1,36.0
Independent,Left-wing,1,0,1,31,0,40.0
Democratic,Left-wing,1,1,1,30,1,30.0
Democratic,Left-wing,1,1,1,28,1,44.0
Republican,Centrist,1,1,1,24,1,32.0
Democratic,Left-wing,1,1,1,45,1,35.0
Working Families Party,Centrist,1,1,0,22,0,58.0
Democratic,Left-wing,1,0,1,33,0,29.0
Independent,Centrist,1,1,1,53,1,20.0
Independent,Left-wing,1,1,1,27,1,54.0
Democratic,Left-wing,1,1,1,38,1,40.0
Republican,Centrist,0,1,0,18,0,56.0
Democratic,Left-wing,1,1,1,21,1,47.0
Democratic,Left-wing,1,1,1,42,1,33.0
Democratic,Right-wing,1,1,1,35,1,38.0
Republican,Right-wing,0,0,0,36,0,58.0
Democratic,Left-wing,1,1,1,31,1,39.0
No affiliation ,Centrist,1,0,1,26,0,49.0
Democratic,Left-wing,1,0,1,36,0,27.0
Republican,Right-wing,1,0,1,31,0,22.0
Democratic,Centrist,1,1,1,39,1,26.0
Democratic,Left-wing,1,1,1,18,1,58.0
Republican,Right-wing,0,0,0,18,0,30.0
Independent,Centrist,1,1,1,24,1,36.0
Democratic,Left-wing,1,1,1,32,1,24.0
Democratic,Left-wing,1,1,1,35,1,28.0
Democratic,Left-wing,1,1,1,30,1,26.0
Democratic,Left-wing,1,1,1,23,1,45.0
Democratic,Left-wing,1,1,1,38,1,25.0
Democratic,Centrist,1,0,1,24,0,19.0
Independent,Left-wing,1,1,1,25,1,50.0
Independent,Centrist,1,0,1,27,0,23.0
Republican,Right-wing,0,0,0,40,0,58.0
Democratic,Left-wing,1,0,0,43,0,63.0
Republican,Centrist,1,1,1,27,1,61.0
Independent,Centrist,1,0,1,23,0,40.0
Democratic,Left-wing,1,1,1,25,1,34.0
Democratic,Left-wing,1,1,1,25,1,51.0
Independent,Left-wing,1,1,1,22,1,39.0
Democratic,Left-wing,1,1,1,25,1,65.0
Democratic,Left-wing,1,1,1,34,1,28.0
Independent,Centrist,1,1,1,34,1,28.0
Independent,Left-wing,1,1,1,22,1,40.0
Democratic,Left-wing,1,1,1,21,1,43.0
Democratic,Left-wing,1,1,1,24,1,45.0
Independent,Centrist,1,1,1,30,1,33.0
Democratic,Left-wing,1,1,1,30,1,46.0
Independent,Centrist,1,0,1,35,0,49.0
Democratic,Left-wing,1,1,1,39,1,38.0
Democratic,Left-wing,1,1,1,24,1,60.0
Democratic,Left-wing,1,1,1,51,1,28.0
Democratic,Left-wing,1,1,1,36,1,28.0
Green,Left-wing,1,1,1,40,1,29.0
Unaffiliated ,Left-wing,1,1,1,26,1,40.0
,Centrist,1,1,1,19,1,29.0
Democratic,Left-wing,1,1,1,29,1,32.0
Democratic,Left-wing,1,1,1,28,1,25.0
Democratic,Left-wing,1,1,1,29,1,66.0
Independent,Centrist,1,0,1,20,0,35.0
Democratic,Left-wing,1,1,1,36,1,40.0
Democratic,Centrist,1,1,1,29,1,45.0
Democratic,Left-wing,1,1,1,35,1,22.0
Independent,Left-wing,1,1,1,35,1,39.0
Independent,Centrist,1,0,1,40,0,29.0
Democratic,Left-wing,1,1,1,23,1,50.0
Democratic,Left-wing,1,1,1,33,1,64.0
Independent,Centrist,1,1,0,34,0,51.0
Democratic,Left-wing,1,1,1,29,1,40.0
Democratic,Centrist,1,1,1,26,1,50.0
Independent,Right-wing,1,1,1,35,1,28.0
Democratic,Left-wing,1,1,1,17,1,38.0
Democratic,Left-wing,1,1,1,46,1,43.0
Democratic,Left-wing,1,1,1,33,1,21.0
Democratic,Left-wing,1,1,1,30,1,59.0
Republican,Right-wing,1,1,1,31,1,23.0
Democratic,Left-wing,1,1,1,32,1,54.0
Republican,Right-wing,1,0,1,36,0,53.0
Republican,Right-wing,0,0,0,36,0,40.0
Democratic,Left-wing,1,1,1,31,1,50.0
Democratic,Left-wing,1,1,1,34,1,35.0
Democratic,Left-wing,1,1,1,27,1,26.0
Democratic,Centrist,1,0,1,32,0,40.0
Republican,Right-wing,1,1,1,37,1,22.0
Democratic,Left-wing,1,1,1,23,1,69.0
Democratic,Centrist,1,1,1,38,1,38.0
Democratic,Left-wing,1,1,1,42,1,26.0
Independent,Centrist,1,1,1,33,1,25.0
Democratic,Left-wing,1,1,1,39,1,30.0
Libertarian,Right-wing,1,0,1,27,0,25.0
Independent,Left-wing,1,1,1,43,1,24.0
Democratic,Left-wing,1,1,1,27,1,40.0
Democratic,Left-wing,1,1,1,34,1,28.0
Independent,Centrist,1,0,1,31,0,25.0
Democratic,Left-wing,1,1,1,22,1,30.0
Democratic,Left-wing,1,1,1,29,1,24.0
Socialist,Left-wing,1,1,1,37,1,39.0
Independent,Centrist,0,0,1,27,0,23.0
Republican,Right-wing,1,1,1,36,1,24.0
Independent,Centrist,1,1,1,40,1,24.0
Independent,Centrist,0,0,0,42,0,32.0
Democratic,Left-wing,1,1,1,38,1,25.0
Independent,Left-wing,1,1,1,20,1,44.0
Democratic,Left-wing,1,1,1,28,1,41.0
Independent,Centrist,0,0,1,25,0,48.0
I dont side with any. I chose according to what is right in the moment,Centrist,0,1,1,24,0,25.0
Independent,Centrist,1,0,0,30,0,34.0
Independent,Centrist,1,0,0,34,0,25.0
Independent,Centrist,1,0,0,27,0,34.0
Democratic,Left-wing,1,1,1,48,1,26.0
Independent,Left-wing,1,1,1,51,1,25.0
Independent,Left-wing,1,1,1,35,1,82.0
Independent,Centrist,0,0,0,33,0,32.0
Democratic,Left-wing,1,0,1,31,0,29.0
Independent,Left-wing,1,1,1,48,1,32.0
Democratic,Left-wing,1,1,1,38,1,25.0
Democratic,Left-wing,1,1,1,26,1,40.0
Republican,Centrist,1,1,1,35,1,53.0
Independent,Centrist,1,0,1,32,0,32.0
Democratic,Left-wing,1,1,1,42,1,55.0
Independent,Centrist,1,0,1,28,0,36.0
Independent,Centrist,1,1,1,32,1,21.0
Democratic,Left-wing,1,1,1,38,1,22.0
Democratic,Centrist,1,0,1,41,0,35.0
Independent,Left-wing,1,1,1,20,1,52.0
Republican,Right-wing,0,0,0,28,0,37.0
Democratic,Left-wing,1,1,1,19,1,68.0
Democratic,Left-wing,1,1,1,33,1,58.0
Independent,Left-wing,1,0,1,31,0,27.0
Independent,Centrist,1,0,1,30,0,28.0
Democratic,Left-wing,1,1,1,35,1,29.0
Democratic,Centrist,0,1,0,59,0,58.0
,Centrist,1,1,1,35,1,30.0
Independent,Centrist,1,1,1,25,1,36.0
Democratic,Left-wing,1,1,1,32,1,70.0
Republican,Right-wing,0,0,0,29,0,28.0
Republican,Right-wing,0,0,1,41,0,42.0
Democratic,Left-wing,1,1,1,48,1,40.0
Democratic,Left-wing,1,1,1,30,1,24.0
Independent,Left-wing,1,0,0,35,0,34.0
Independent,Right-wing,0,0,1,31,0,75.0
Independent,Centrist,0,0,1,26,0,33.0
Independent,Left-wing,1,1,1,33,1,25.0
Democratic,Left-wing,1,1,1,28,1,45.0
Democratic,Left-wing,1,1,1,32,1,30.0
Democratic,Left-wing,1,0,1,31,0,21.0
Democratic,Left-wing,1,1,1,19,1,31.0
Democratic,Left-wing,1,1,1,38,1,26.0
Independent,Centrist,1,1,1,29,1,45.0
Democratic,Left-wing,1,1,1,24,1,35.0
Independent,Centrist,1,0,1,23,0,61.0
Democratic,Left-wing,1,1,1,25,1,49.0
Democratic,Left-wing,1,1,1,35,1,30.0
Democratic,Left-wing,1,1,1,24,1,74.0
Independent,Left-wing,1,1,1,30,1,26.0
Republican,Right-wing,0,1,1,31,0,21.0
Democratic,Left-wing,0,1,0,25,0,49.0
Independent,Centrist,1,1,1,22,1,21.0
bi partisan,Centrist,1,1,0,39,0,71.0
Democratic,Centrist,1,0,1,42,0,51.0
Independent,Centrist,1,1,1,28,1,29.0
Republican,Centrist,0,0,0,28,0,40.0
Democratic,Left-wing,1,1,1,24,1,31.0
Republican,Right-wing,0,0,0,38,0,49.0
Republican,Right-wing,1,0,1,25,0,45.0
Republican,Right-wing,1,0,0,32,0,28.0
Democratic,Left-wing,1,1,1,35,1,24.0
Republican,Right-wing,0,0,0,25,0,36.0
Democratic,Left-wing,1,1,1,29,1,27.0
Democratic,Left-wing,1,1,1,38,1,21.0
Democratic,Left-wing,1,1,1,31,1,23.0
Republican,Centrist,1,1,1,24,1,63.0
Independent,Centrist,1,1,1,40,1,25.0
Independent,Centrist,1,0,1,33,0,33.0
Independent,Centrist,1,1,1,35,1,71.0
Libertarian,Centrist,1,0,1,35,0,29.0
Democratic,Left-wing,1,1,1,27,1,28.0
Democratic,Left-wing,1,1,1,36,1,29.0
Democratic,Left-wing,1,1,1,24,1,74.0
Republican,Right-wing,0,0,1,27,0,60.0
Republican,Right-wing,1,1,1,23,1,25.0
Independent,Left-wing,1,1,1,32,1,30.0
Democratic,Left-wing,1,1,1,32,1,46.0
Independent,Centrist,1,0,0,26,0,45.0
Democratic,Left-wing,1,1,1,29,1,22.0
Republican,Right-wing,0,0,0,33,0,24.0
Democratic,Right-wing,1,1,1,20,1,44.0
Democratic,Left-wing,1,1,1,45,1,24.0
Democratic,Centrist,0,0,0,42,0,45.0
Democratic,Centrist,1,1,1,39,1,24.0
Democratic,Left-wing,1,1,1,24,1,44.0
Democratic,Left-wing,1,1,1,34,1,42.0
Democratic,Centrist,1,0,1,40,0,27.0
Independent,Left-wing,1,1,1,27,1,36.0
Republican,Right-wing,0,0,0,28,0,61.0
Democratic,Centrist,1,1,1,33,1,34.0
Democratic,Left-wing,1,1,1,30,1,42.0
Democratic,Left-wing,1,1,1,26,1,56.0
Democratic,Left-wing,1,1,1,30,1,43.0
Democratic,Left-wing,1,0,0,25,0,42.0
Democratic,Left-wing,1,1,1,30,1,26.0
Democratic,Left-wing,1,1,1,30,1,68.0
Independent,Centrist,1,0,1,29,0,41.0
Democratic,Left-wing,1,0,1,38,0,32.0
Democratic,Left-wing,0,1,1,36,0,72.0
Democratic,Left-wing,1,1,1,28,1,24.0
Democratic,Left-wing,1,1,1,50,1,52.0
Democratic,Left-wing,1,1,1,46,1,25.0
Republican,Centrist,1,1,0,24,0,21.0
Democratic,Left-wing,1,1,1,34,1,34.0
Republican,Centrist,1,0,0,34,0,67.0
Independent,Left-wing,1,1,1,25,1,44.0
Democratic,Left-wing,1,1,1,30,1,62.0
Republican,Right-wing,1,0,0,23,0,52.0
Democratic,Centrist,1,0,0,39,0,35.0
Independent,Centrist,1,1,1,22,1,53.0
Democratic,Left-wing,1,1,1,35,1,24.0
Independent,Centrist,1,1,1,34,1,26.0
Democratic,Left-wing,1,1,1,32,1,26.0
Democratic,Left-wing,1,1,1,28,1,22.0
Republican,Right-wing,0,0,0,31,0,78.0
Democratic,Left-wing,1,1,1,34,1,60.0
Democratic,Left-wing,1,1,1,38,1,42.0
Democratic,Left-wing,1,1,1,28,1,73.0
Independent,Left-wing,1,1,1,32,1,23.0
Democratic,Left-wing,1,1,1,34,1,28.0
Democratic,Left-wing,1,0,1,18,0,33.0
Democratic,Left-wing,1,1,1,38,1,33.0
Independent,Centrist,1,1,1,35,1,38.0
Republican,Right-wing,0,1,0,25,0,46.0
Republican,Centrist,1,0,1,30,0,34.0
Democratic,Left-wing,1,1,1,25,1,32.0
Democratic,Left-wing,1,1,1,35,1,41.0
Democratic,Left-wing,1,1,1,33,1,23.0
Democratic,Left-wing,1,1,1,36,1,23.0
Democratic,Left-wing,1,1,1,23,1,29.0
Independent,Left-wing,1,1,1,30,1,29.0
Democratic,Left-wing,1,1,0,32,0,69.0
Democratic,Left-wing,1,1,1,32,1,28.0
Democratic,Centrist,0,0,1,34,0,59.0
Democratic,Left-wing,1,1,1,34,1,41.0
Independent,Centrist,1,0,0,35,0,23.0
Independent,Left-wing,1,1,1,37,1,34.0
Independent,Centrist,1,1,1,30,1,49.0
Democratic,Left-wing,1,1,1,35,1,51.0
Independent,Centrist,1,1,1,23,1,38.0
Republican,Right-wing,0,1,0,23,0,31.0
Democratic,Left-wing,1,1,1,27,1,37.0
Independent,Centrist,1,1,1,30,1,35.0
Republican,Right-wing,0,0,0,18,0,47.0
Democratic,Left-wing,1,1,1,29,1,31.0
Democratic,Left-wing,1,1,1,24,1,29.0
Democratic,Left-wing,1,1,1,32,1,64.0
Democratic,Left-wing,1,1,1,34,1,32.0
Independent,Left-wing,1,1,1,20,1,43.0
Democratic,Left-wing,1,1,1,31,1,23.0
Independent,Right-wing,0,0,0,30,0,53.0
Democratic,Centrist,1,1,1,26,1,46.0
Democratic,Left-wing,1,1,1,27,1,42.0
Democratic,Left-wing,1,1,1,37,1,38.0
Independent,Centrist,1,1,1,36,1,57.0
Independent,Left-wing,1,1,1,21,1,52.0
Independent,Centrist,1,1,1,24,1,52.0
Democratic,Left-wing,1,0,1,50,0,51.0
Democratic,Left-wing,1,0,1,39,0,58.0
Democratic,Left-wing,1,1,1,27,1,35.0
Independent,Centrist,1,1,1,23,1,21.0
Democratic,Left-wing,1,1,1,32,1,21.0
Democratic,Left-wing,1,1,1,18,1,29.0
Independent,Centrist,1,1,1,24,1,54.0
Democratic,Left-wing,1,1,1,35,1,25.0
Democratic,Left-wing,1,1,1,40,1,52.0
Democratic,Left-wing,1,1,1,42,1,20.0
Democratic,Left-wing,1,1,1,27,1,29.0
Independent,Centrist,1,1,1,30,1,42.0
Republican,Right-wing,0,0,1,26,0,37.0
Democratic,Left-wing,1,1,1,27,1,37.0
Democratic,Left-wing,1,1,1,26,1,25.0
Democratic,Left-wing,1,1,1,32,1,21.0
Democratic,Left-wing,1,1,1,37,1,57.0
Democratic,Left-wing,1,1,1,38,1,31.0
Democratic,Left-wing,1,1,1,38,1,58.0
Democratic,Left-wing,1,1,1,21,1,29.0
Democratic,Left-wing,1,1,1,40,1,38.0
Democratic,Left-wing,1,1,1,31,1,69.0
Democratic,Left-wing,1,1,1,24,1,47.0
Independent,Left-wing,0,1,1,23,0,57.0
Democratic,Left-wing,1,1,1,28,1,37.0
Independent,Right-wing,0,0,0,21,0,59.0
Democratic,Left-wing,1,1,1,41,1,23.0
Democratic,Left-wing,1,1,1,24,1,46.0
Republican,Centrist,0,0,0,26,0,68.0
Republican,Right-wing,1,0,1,17,0,59.0
Democratic,Left-wing,1,1,1,37,1,42.0
Republican,Right-wing,0,0,0,22,0,41.0
